SurveyItemPGPhoneCalibrationKey,SurveyItemKey,PatientDischargeStartDateKey,PatientDischargeEndDateKey,PGResponseScoreCalibrationFactor,PGTopBoxScoreCalibrationFactor,EDWSourceKey,EDWCreatedDateTime,EDWModifiedDateTime
80,2256,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
81,2258,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
82,2259,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
83,2260,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
84,2261,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
85,2262,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
86,2279,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
87,2280,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
88,2281,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
89,2297,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
90,2307,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
91,2308,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
92,2309,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
93,2310,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
94,2311,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
95,2312,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
96,2319,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
97,2330,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
98,2332,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
99,2333,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
100,2334,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
101,2335,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
102,2336,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
103,2337,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
104,2338,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
105,2339,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
106,2340,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
107,2341,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
108,2342,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
109,2343,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
110,2344,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
111,2345,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
112,2346,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
113,2347,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
114,2348,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
115,2349,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
116,2350,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
117,2351,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
118,2352,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
119,2353,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
120,2354,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
